"address","categories/0","categoryName","cid","city","countryCode","fid","imageUrl","isAdvertisement","isLocalGuide","likesCount","location/lat","location/lng","name","neighborhood","originalLanguage","permanentlyClosed","placeId","postalCode","price","publishAt","publishedAtDate","rating","responseFromOwnerDate","responseFromOwnerText","reviewContext/Reservation recommended","reviewContext/Visited on","reviewContext/Wait time","reviewId","reviewImageUrls/0","reviewImageUrls/1","reviewImageUrls/2","reviewImageUrls/3","reviewImageUrls/4","reviewImageUrls/5","reviewImageUrls/6","reviewImageUrls/7","reviewImageUrls/8","reviewImageUrls/9","reviewImageUrls/10","reviewImageUrls/11","reviewImageUrls/12","reviewImageUrls/13","reviewImageUrls/14","reviewImageUrls/15","reviewImageUrls/16","reviewImageUrls/17","reviewImageUrls/18","reviewImageUrls/19","reviewImageUrls/20","reviewImageUrls/21","reviewImageUrls/22","reviewImageUrls/23","reviewImageUrls/24","reviewImageUrls/25","reviewImageUrls/26","reviewImageUrls/27","reviewImageUrls/28","reviewImageUrls/29","reviewImageUrls/30","reviewImageUrls/31","reviewImageUrls/32","reviewOrigin","reviewUrl","reviewerId","reviewerNumberOfReviews","reviewerPhotoUrl","reviewerUrl","reviewsCount","searchString","stars","state","street","temporarilyClosed","text","textTranslated","title","totalScore","translatedLanguage","url","visitedIn"
"Rüschweg 28, 21129 Hamburg, Germany","Historical landmark","Historical landmark","12023118206396648004","Hamburg","DE","0x47b184f164e66f5d:0xa6dab24eb8cdca44","https://lh5.googleusercontent.com/p/AF1QipOj6djO1l7Qq3GJUnYUK7Q1WbfN4tib_YYwN5Q1=w408-h306-k-no","false","true","0","53.541152","9.8543855","Hein Mück","Hamburg-Mitte","de","false","ChIJXW_mZPGEsUcRRMrNuE6y2qY","21129",,"a month ago","2024-12-24T13:05:05.616Z",,,,"No","Weekday","No wait","ChZDSUhNMG9nS0VJQ0FnSUR2LTVDX0JREAE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUR2LTVDX0JREAE!2m1!1s0x0:0xa6dab24eb8cdca44!3m1!1s2@1:CIHM0ogKEICAgIDv-5C_BQ%7CCgwIgeOquwYQyJGVpgI%7C?hl=en","113035225989247327373","570","https://lh3.googleusercontent.com/a-/ALV-UjUo2I7XgDCwYNg5b015mu4beXwCS-PBA4zAi3sJ8gkemqAw7FHw=s1920-c-rp-mo-ba5-br100","https://www.google.com/maps/contrib/113035225989247327373?hl=en","82","Direct Detail URL: https://www.google.com/maps/place/Fink+II+U-Boot-Bunker/@53.541152,9.8518106,17z/data=!3m1!4b1!4m6!3m5!1s0x47b184f164e66f5d:0xa6dab24eb8cdca44!8m2!3d53.541152!4d9.8543855!16s%2Fg%2F11bvt8mzbs?entry=ttu&g_ep=EgoyMDI1MDIxMC4wIKXMDSoJLDEwMjExMjMzSAFQAw%3D%3D","5",,"Rüschweg 28","false","Meine Mutter hat oft berichtet, wie sie als Kinder bei Fliegeralarm in die U-Bootbunker mussten. Opa hat auf der damaligen Deutschen Werft gearbeitet.","My mother often talked about how, as children, they had to go to the submarine bunkers when there was an air raid alarm. Grandpa worked at what was then the German shipyard.","Fink II U-Boot-Bunker","4.3","en","https://www.google.com/maps/search/?api=1&query=Fink%20II%20U-Boot-Bunker&query_place_id=ChIJXW_mZPGEsUcRRMrNuE6y2qY",
"Rüschweg 28, 21129 Hamburg, Germany","Historical landmark","Historical landmark","12023118206396648004","Hamburg","DE","0x47b184f164e66f5d:0xa6dab24eb8cdca44","https://lh5.googleusercontent.com/p/AF1QipOj6djO1l7Qq3GJUnYUK7Q1WbfN4tib_YYwN5Q1=w408-h306-k-no","false","false","0","53.541152","9.8543855","Ulf Makac","Hamburg-Mitte",,"false","ChIJXW_mZPGEsUcRRMrNuE6y2qY","21129",,"2 months ago","2024-12-06T13:12:24.600Z",,,,"No","Weekday","No wait","ChZDSUhNMG9nS0VJQ0FnSURQejlpU1lBEAE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURQejlpU1lBEAE!2m1!1s0x0:0xa6dab24eb8cdca44!3m1!1s2@1:CIHM0ogKEICAgIDPz9iSYA%7CCgwIuPDLugYQgMGlngI%7C?hl=en","112642775851614886820","2","https://lh3.googleusercontent.com/a-/ALV-UjUGa3fiiA3xwejI-abguRSMt46OVBTULdBHmahhm4J_SkIxURw=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/112642775851614886820?hl=en","82","Direct Detail URL: https://www.google.com/maps/place/Fink+II+U-Boot-Bunker/@53.541152,9.8518106,17z/data=!3m1!4b1!4m6!3m5!1s0x47b184f164e66f5d:0xa6dab24eb8cdca44!8m2!3d53.541152!4d9.8543855!16s%2Fg%2F11bvt8mzbs?entry=ttu&g_ep=EgoyMDI1MDIxMC4wIKXMDSoJLDEwMjExMjMzSAFQAw%3D%3D","3",,"Rüschweg 28","false",,,"Fink II U-Boot-Bunker","4.3",,"https://www.google.com/maps/search/?api=1&query=Fink%20II%20U-Boot-Bunker&query_place_id=ChIJXW_mZPGEsUcRRMrNuE6y2qY",
"Rüschweg 28, 21129 Hamburg, Germany","Historical landmark","Historical landmark","12023118206396648004","Hamburg","DE","0x47b184f164e66f5d:0xa6dab24eb8cdca44","https://lh5.googleusercontent.com/p/AF1QipOj6djO1l7Qq3GJUnYUK7Q1WbfN4tib_YYwN5Q1=w408-h306-k-no","false","false","0","53.541152","9.8543855","easygroove","Hamburg-Mitte","de","false","ChIJXW_mZPGEsUcRRMrNuE6y2qY","21129",,"2 months ago","2024-11-21T16:48:36.471Z",,,,,,,"ChdDSUhNMG9nS0VJQ0FnSUNQcEp1VmdRRRAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNQcEp1VmdRRRAB!2m1!1s0x0:0xa6dab24eb8cdca44!3m1!1s2@1:CIHM0ogKEICAgICPpJuVgQE%7CCgwI5Mj9uQYQyMyA4QE%7C?hl=en","101627294515288249303","3","https://lh3.googleusercontent.com/a-/ALV-UjXjOK1m5T_lZMkPg59a8_trorxra9sTYnDmKDfznTwfkya3pEcB=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/101627294515288249303?hl=en","82","Direct Detail URL: https://www.google.com/maps/place/Fink+II+U-Boot-Bunker/@53.541152,9.8518106,17z/data=!3m1!4b1!4m6!3m5!1s0x47b184f164e66f5d:0xa6dab24eb8cdca44!8m2!3d53.541152!4d9.8543855!16s%2Fg%2F11bvt8mzbs?entry=ttu&g_ep=EgoyMDI1MDIxMC4wIKXMDSoJLDEwMjExMjMzSAFQAw%3D%3D","5",,"Rüschweg 28","false","""Rund um die Uhr geöffnet""  :-)","""Open 24 hours a day"" :-)","Fink II U-Boot-Bunker","4.3","en","https://www.google.com/maps/search/?api=1&query=Fink%20II%20U-Boot-Bunker&query_place_id=ChIJXW_mZPGEsUcRRMrNuE6y2qY",
"Rüschweg 28, 21129 Hamburg, Germany","Historical landmark","Historical landmark","12023118206396648004","Hamburg","DE","0x47b184f164e66f5d:0xa6dab24eb8cdca44","https://lh5.googleusercontent.com/p/AF1QipOj6djO1l7Qq3GJUnYUK7Q1WbfN4tib_YYwN5Q1=w408-h306-k-no","false","true","0","53.541152","9.8543855","Jørgen Winther Lassen","Hamburg-Mitte",,"false","ChIJXW_mZPGEsUcRRMrNuE6y2qY","21129",,"3 months ago","2024-10-19T18:39:56.902Z",,,,"No","Weekday","No wait","ChZDSUhNMG9nS0VJQ0FnSUNYX1pTUERnEAE","https://lh3.googleusercontent.com/geougc-cs/AIHozJLtM7075Vo1CC9HRG7yEKqo9XCdduQJ5E6sGEE8EMMccs8oDEuJLqrhzycM3zFP3jLfPmJeo1irKAKiw-iPOalRM4YvyACouooP8tTaSZ9LQas5WQVfr6wQ-JTDjUwj6lzo4Dsz","https://lh3.googleusercontent.com/geougc-cs/AIHozJI6jIu5c_SLMGrWu5ZpZlNdDATllCCIpNE7-WXDAsAnTBiOySUocKTzEYuZsEtBfd1HUfzu0YBleDbBbv_3YE8nkvXXU-bh9PTSjlt0b8r1_SlJ_q-Rqtvjui6gRNCGWcpTUZfB3Q",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNYX1pTUERnEAE!2m1!1s0x0:0xa6dab24eb8cdca44!3m1!1s2@1:CIHM0ogKEICAgICX_ZSPDg%7CCgwI_PnPuAYQ0LPJrgM%7C?hl=en","101157838188888481580","67","https://lh3.googleusercontent.com/a/ACg8ocJCeoG-OItD6VYC2tSEOtDb73o3LAS_0sd9K7bZibbqdVumqA=s1920-c-rp-mo-ba6-br100","https://www.google.com/maps/contrib/101157838188888481580?hl=en","82","Direct Detail URL: https://www.google.com/maps/place/Fink+II+U-Boot-Bunker/@53.541152,9.8518106,17z/data=!3m1!4b1!4m6!3m5!1s0x47b184f164e66f5d:0xa6dab24eb8cdca44!8m2!3d53.541152!4d9.8543855!16s%2Fg%2F11bvt8mzbs?entry=ttu&g_ep=EgoyMDI1MDIxMC4wIKXMDSoJLDEwMjExMjMzSAFQAw%3D%3D","4",,"Rüschweg 28","false",,,"Fink II U-Boot-Bunker","4.3",,"https://www.google.com/maps/search/?api=1&query=Fink%20II%20U-Boot-Bunker&query_place_id=ChIJXW_mZPGEsUcRRMrNuE6y2qY",
"Rüschweg 28, 21129 Hamburg, Germany","Historical landmark","Historical landmark","12023118206396648004","Hamburg","DE","0x47b184f164e66f5d:0xa6dab24eb8cdca44","https://lh5.googleusercontent.com/p/AF1QipOj6djO1l7Qq3GJUnYUK7Q1WbfN4tib_YYwN5Q1=w408-h306-k-no","false","true","0","53.541152","9.8543855","a-band","Hamburg-Mitte","de","false","ChIJXW_mZPGEsUcRRMrNuE6y2qY","21129",,"4 months ago","2024-09-29T15:13:31.396Z",,,,"No","Weekend","No wait","ChdDSUhNMG9nS0VJQ0FnSUNIay1XYTdnRRAB","https://lh3.googleusercontent.com/geougc-cs/AIHozJJztytJ8P4bSuIFxkDXJfbxsetvbf-k-IxTmiYp5wyWS7dqlVDKixsRbZ9Ql-Q-zKtwmY0Jyviiuj_I4l9ANyp2BOIClyyz_stdITK0rU42L8RYBDNAljVIDYXpNqtGufJwonvd","https://lh3.googleusercontent.com/geougc-cs/AIHozJJNIN8LY5WbSn3zhRG0bQ1wff53iw7Ly6MSndckpW-srAUlEo29huUhrV0LPz-QGT4fQ4v69S2FUcyxMs5YYRq1HtVtZIiP7sQNpjFWYFlm78asLaXlbmod5BvG_KlzLzRcpr49","https://lh3.googleusercontent.com/geougc-cs/AIHozJKJm5IZWYxrVu5icvDvR7lAGCLYtiPKN7Y20bBNFi68rhEJD1sKBkyu9JcN_uSy0yx4lXQEDRu_x1YmblVgC9szMd2Ctyw4pyoNnTfNJh7yyiMoYUJQcj41lzVZKvfQRNYo1Tvtpw","https://lh3.googleusercontent.com/geougc-cs/AIHozJIMpOqf-S9aXhakw1_flMnIaEvi4VvuQAz5LmNNjMymfGkSuf8E1HlDSesj4s-1NeazmbjvyihNhGAKuYMiFw_uq38IMR5V7xXTBiTTpUbyaPtoHpGDeGi-jWXjAnegR4Ok7Ic","https://lh3.googleusercontent.com/geougc-cs/AIHozJI6Y6WqcqmLVOG7e7Qi3A9UaIyb-niXQXbbIhHvCYSgZrN_0Y5iUiEiFOrTMJiHDhoJjpc3PyZ5TLoadV0dnH_aAII-PoEeeMvt5DAB-rWERwfvuwIYXNVFUET__CyvT8zKzenK7A","https://lh3.googleusercontent.com/geougc-cs/AIHozJLNPPvAgrKGMSqHcq0goEDwBORKnY-wV9W6whNSTapbr47oQ3d2m4GfPfdZm9xYAfmcH4lSkxdC-R13_cNrBhGtn_yNdlNVU75re-cOVHqJLZEtRHWCEP6nGqPzn_hamqj28iIc","https://lh3.googleusercontent.com/geougc-cs/AIHozJJ1rPkD6nM119Azura4FpFmeUQ7ukcVXiZ0UK-ihk1hybnZH4mMp12-oru5ZuDghsoFFOlSlcoEZARt0fC_503IVu6SL18BB39DDTpGqN_lqPUm_TDImqbVVPMLUgs13tT30cydUg","https://lh3.googleusercontent.com/geougc-cs/AIHozJJjZjQGYsDmpZZBISOhrWSwsD5ZjEVSpFuJeF9hPxR8inX46bnPnLttRRR523sPQ_f68_00sxHoDAUMnlRBvEIOpRtB_M18TmjgIKn0gj5wDKR6x-htTO_3EsFeXgWxCVhvEdQl","https://lh3.googleusercontent.com/geougc-cs/AIHozJKcuo4rOx1MFJqjJcn3GoRsPNl_1MiOL4WTcCU_IYx0To4ByNCqR6SOmr7zzlghzsAz6Bt59ve0IcIyG7hg-eFHckMW2EIv6Sza52hvQj8K7PaMjn-hxt3zPtqGW4NAmtSHxBQF",,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNIay1XYTdnRRAB!2m1!1s0x0:0xa6dab24eb8cdca44!3m1!1s2@1:CIHM0ogKEICAgICHk-Wa7gE%7CCgwIm93ltwYQ0ISUvQE%7C?hl=en","107570176319848922284","147","https://lh3.googleusercontent.com/a-/ALV-UjWqKSobBtFOMyCRvIRudaj3SvIU00XOyocLfrzblg1K1b8Mhj-5=s1920-c-rp-mo-ba5-br100","https://www.google.com/maps/contrib/107570176319848922284?hl=en","82","Direct Detail URL: https://www.google.com/maps/place/Fink+II+U-Boot-Bunker/@53.541152,9.8518106,17z/data=!3m1!4b1!4m6!3m5!1s0x47b184f164e66f5d:0xa6dab24eb8cdca44!8m2!3d53.541152!4d9.8543855!16s%2Fg%2F11bvt8mzbs?entry=ttu&g_ep=EgoyMDI1MDIxMC4wIKXMDSoJLDEwMjExMjMzSAFQAw%3D%3D","5",,"Rüschweg 28","false","Selbst die Ruinen hinterlassen einen bleibenden Eindruck von der immensen Größe und dem Ausmaß der U-boote.","Even the ruins leave a lasting impression of the immense size and scale of the submarines.","Fink II U-Boot-Bunker","4.3","en","https://www.google.com/maps/search/?api=1&query=Fink%20II%20U-Boot-Bunker&query_place_id=ChIJXW_mZPGEsUcRRMrNuE6y2qY",
"Rüschweg 28, 21129 Hamburg, Germany","Historical landmark","Historical landmark","12023118206396648004","Hamburg","DE","0x47b184f164e66f5d:0xa6dab24eb8cdca44","https://lh5.googleusercontent.com/p/AF1QipOj6djO1l7Qq3GJUnYUK7Q1WbfN4tib_YYwN5Q1=w408-h306-k-no","false","true","0","53.541152","9.8543855","crazy freggel","Hamburg-Mitte",,"false","ChIJXW_mZPGEsUcRRMrNuE6y2qY","21129",,"5 months ago","2024-09-10T21:11:41.627Z",,,,,,,"ChZDSUhNMG9nS0VJQ0FnSUNIXzZ6VU9nEAE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNIXzZ6VU9nEAE!2m1!1s0x0:0xa6dab24eb8cdca44!3m1!1s2@1:CIHM0ogKEICAgICH_6zUOg%7CCgwIjeyCtwYQiKCWqwI%7C?hl=en","104046279056326713802","175","https://lh3.googleusercontent.com/a-/ALV-UjXyFd2xzHppkBwhmcpJtX7Og6AxFBSVx7G_PjmnqLiT6efukcXWtQ=s1920-c-rp-mo-ba5-br100","https://www.google.com/maps/contrib/104046279056326713802?hl=en","82","Direct Detail URL: https://www.google.com/maps/place/Fink+II+U-Boot-Bunker/@53.541152,9.8518106,17z/data=!3m1!4b1!4m6!3m5!1s0x47b184f164e66f5d:0xa6dab24eb8cdca44!8m2!3d53.541152!4d9.8543855!16s%2Fg%2F11bvt8mzbs?entry=ttu&g_ep=EgoyMDI1MDIxMC4wIKXMDSoJLDEwMjExMjMzSAFQAw%3D%3D","5",,"Rüschweg 28","false",,,"Fink II U-Boot-Bunker","4.3",,"https://www.google.com/maps/search/?api=1&query=Fink%20II%20U-Boot-Bunker&query_place_id=ChIJXW_mZPGEsUcRRMrNuE6y2qY",
"Rüschweg 28, 21129 Hamburg, Germany","Historical landmark","Historical landmark","12023118206396648004","Hamburg","DE","0x47b184f164e66f5d:0xa6dab24eb8cdca44","https://lh5.googleusercontent.com/p/AF1QipOj6djO1l7Qq3GJUnYUK7Q1WbfN4tib_YYwN5Q1=w408-h306-k-no","false","true","0","53.541152","9.8543855","Feliks Nowak","Hamburg-Mitte",,"false","ChIJXW_mZPGEsUcRRMrNuE6y2qY","21129",,"5 months ago","2024-08-25T21:33:02.815Z",,,,"No","Weekend","No wait","ChdDSUhNMG9nS0VJQ0FnSUQ3bWVEeF93RRAB","https://lh3.googleusercontent.com/geougc-cs/AIHozJIjmYZDtB1OHx7ChqjtES5SUFMGepS9K-0NbqqSpmDLUFceeV_-2ki2apI87GpbtmyUcAmyJ6RvQBnCSexWbAjBmKBwHAwCkwp4dcsF4y0E_VSOr6sPcb_aLDvjVQVwmwpcqI3qCg","https://lh3.googleusercontent.com/geougc-cs/AIHozJJG7yPVB6s34vJH9EjjXvDlJcDmL7jTWynDi09uyQBAN_3-DPiCuhOam5mqwNIVoL_IJeCmjOuOV47waBoWYF4-no9hA5ldrWTD8bXfskMv0pVOZ8_kwlvCz4bWY-x3jo8hH98","https://lh3.googleusercontent.com/geougc-cs/AIHozJKo3nLw4N5MUQYCRBb-kiFn6yIf4zgR8zJUeEAyE1LxLVyWY1U37dunRJMffLZPScMxBcS2L5nFQ0RZMAt2dW7GvCfhIlLY4U3hbarvYDaVLdVkwVunAzV-ubDPd88UsADBsKx8JA","https://lh3.googleusercontent.com/geougc-cs/AIHozJL4eoYhCXOJ8levkHygiZOchHSj49fpLnsn9pXxGVa1qHqCqCk4JMDZpRILKIg8aBi8_pTtjyKvu-0lZSBmIv7Z_CGPjYvJTRxLnBZQPV_SRYrbPLNvvh-RYR-JiGa5Rle1UO9j",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQ3bWVEeF93RRAB!2m1!1s0x0:0xa6dab24eb8cdca44!3m1!1s2@1:CIHM0ogKEICAgID7meDx_wE%7CCgwIjsautgYQ6MvphAM%7C?hl=en","116077964472913994206","16","https://lh3.googleusercontent.com/a/ACg8ocLiZwr60PAfSdw8ZEjDssumoerjWi-jdCPlbJZZFWevOiqxyA=s1920-c-rp-mo-ba3-br100","https://www.google.com/maps/contrib/116077964472913994206?hl=en","82","Direct Detail URL: https://www.google.com/maps/place/Fink+II+U-Boot-Bunker/@53.541152,9.8518106,17z/data=!3m1!4b1!4m6!3m5!1s0x47b184f164e66f5d:0xa6dab24eb8cdca44!8m2!3d53.541152!4d9.8543855!16s%2Fg%2F11bvt8mzbs?entry=ttu&g_ep=EgoyMDI1MDIxMC4wIKXMDSoJLDEwMjExMjMzSAFQAw%3D%3D","5",,"Rüschweg 28","false",,,"Fink II U-Boot-Bunker","4.3",,"https://www.google.com/maps/search/?api=1&query=Fink%20II%20U-Boot-Bunker&query_place_id=ChIJXW_mZPGEsUcRRMrNuE6y2qY",
"Rüschweg 28, 21129 Hamburg, Germany","Historical landmark","Historical landmark","12023118206396648004","Hamburg","DE","0x47b184f164e66f5d:0xa6dab24eb8cdca44","https://lh5.googleusercontent.com/p/AF1QipOj6djO1l7Qq3GJUnYUK7Q1WbfN4tib_YYwN5Q1=w408-h306-k-no","false","true","0","53.541152","9.8543855","Tommy L","Hamburg-Mitte","de","false","ChIJXW_mZPGEsUcRRMrNuE6y2qY","21129",,"5 months ago","2024-08-22T03:23:57.048Z",,,,,,,"ChZDSUhNMG9nS0VJQ0FnSUQ3ekxmSEpREAE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQ3ekxmSEpREAE!2m1!1s0x0:0xa6dab24eb8cdca44!3m1!1s2@1:CIHM0ogKEICAgID7zLfHJQ%7CCgsIzd6atgYQkIL-Fg%7C?hl=en","115377265836653719955","257","https://lh3.googleusercontent.com/a-/ALV-UjXa19NG0LkTjFVIwZpA8EFxVaXDmiIh6r-QuOpD5qZeomYc4VpF=s1920-c-rp-mo-ba5-br100","https://www.google.com/maps/contrib/115377265836653719955?hl=en","82","Direct Detail URL: https://www.google.com/maps/place/Fink+II+U-Boot-Bunker/@53.541152,9.8518106,17z/data=!3m1!4b1!4m6!3m5!1s0x47b184f164e66f5d:0xa6dab24eb8cdca44!8m2!3d53.541152!4d9.8543855!16s%2Fg%2F11bvt8mzbs?entry=ttu&g_ep=EgoyMDI1MDIxMC4wIKXMDSoJLDEwMjExMjMzSAFQAw%3D%3D","5",,"Rüschweg 28","false","Interessanter Ort war dort zum Angeln","Interesting place was there for fishing","Fink II U-Boot-Bunker","4.3","en","https://www.google.com/maps/search/?api=1&query=Fink%20II%20U-Boot-Bunker&query_place_id=ChIJXW_mZPGEsUcRRMrNuE6y2qY",
"Rüschweg 28, 21129 Hamburg, Germany","Historical landmark","Historical landmark","12023118206396648004","Hamburg","DE","0x47b184f164e66f5d:0xa6dab24eb8cdca44","https://lh5.googleusercontent.com/p/AF1QipOj6djO1l7Qq3GJUnYUK7Q1WbfN4tib_YYwN5Q1=w408-h306-k-no","false","true","0","53.541152","9.8543855","Kaj Obst","Hamburg-Mitte","sv","false","ChIJXW_mZPGEsUcRRMrNuE6y2qY","21129",,"6 months ago","2024-07-20T20:43:16.305Z",,,,,,,"ChZDSUhNMG9nS0VJQ0FnSURyb0xMM2NREAE","https://lh3.googleusercontent.com/geougc-cs/AIHozJKfg6Lhm9fjef83sxOpz47tbJxS11Ke300zZJ9thYTr4peVfiml3lBmslm4baIwtOcgfypNFZ8emqyS0yLN73-AADvQ6IYi2YNjhpyFpszhKCMj8lOA7OJaNwMVzwJIxiyNtUni",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURyb0xMM2NREAE!2m1!1s0x0:0xa6dab24eb8cdca44!3m1!1s2@1:CIHM0ogKEICAgIDroLL3cQ%7CCgwI5MLwtAYQ2KbwkQE%7C?hl=en","104074235918693383684","34","https://lh3.googleusercontent.com/a-/ALV-UjWkH9QulpKpzQHeQIJQg-aFB1JrGv50zLee3066gQpXC9yZ37OOtQ=s1920-c-rp-mo-ba4-br100","https://www.google.com/maps/contrib/104074235918693383684?hl=en","82","Direct Detail URL: https://www.google.com/maps/place/Fink+II+U-Boot-Bunker/@53.541152,9.8518106,17z/data=!3m1!4b1!4m6!3m5!1s0x47b184f164e66f5d:0xa6dab24eb8cdca44!8m2!3d53.541152!4d9.8543855!16s%2Fg%2F11bvt8mzbs?entry=ttu&g_ep=EgoyMDI1MDIxMC4wIKXMDSoJLDEwMjExMjMzSAFQAw%3D%3D","5",,"Rüschweg 28","false","Finkenwerder II U-båtsbunker är en betydelsefull historisk struktur belägen i Hamburg, Tyskland. Byggd mellan 1941 och 1943, representerar denna massiva betongkonstruktion en viktig del av 1900-talets militära arkitektur.

Bunkern utformades för att erbjuda skydd för fartyg och utrustning. Dess strategiska placering vid floden Elbe gav enkel tillgång till Nordsjön. Den imponerande konstruktionen, med sina tjocka väggar och tak, demonstrerar dåtidens avancerade ingenjörskonst.

Inuti bunkern fanns utrymmen för flera fartyg samtidigt, tillsammans med verkstäder, lager och personalutrymmen. Denna mångsidiga design möjliggjorde effektivt underhåll och logistik under en utmanande period.

Efter kriget stod strukturen kvar trots försök till rivning, vilket vittnar om dess robusta konstruktion. Idag fungerar Finkenwerder II som ett historiskt landmärke som lockar besökare intresserade av arkitektur och 1900-talets historia.

Bunkern väcker viktiga frågor om bevarandet av historiska platser och deras betydelse för vårt kollektiva minne. Den erbjuder en unik inblick i en komplex historisk period och fungerar som ett pedagogiskt verktyg för att förstå den tidens tekniska framsteg och samhälleliga utmaningar.","The Finkenwerder II U-boat Bunker is a significant historical structure located in Hamburg, Germany. Built between 1941 and 1943, this massive concrete structure represents an important part of 20th century military architecture.

The bunker was designed to offer protection for ships and equipment. Its strategic location on the Elbe River provided easy access to the North Sea. The impressive construction, with its thick walls and roof, demonstrates the advanced engineering of the time.

Inside the bunker were spaces for several ships at once, along with workshops, warehouses and staff quarters. This versatile design enabled efficient maintenance and logistics during a challenging period.

After the war, the structure stood despite attempts at demolition, testifying to its robust construction. Today, Finkenwerder II serves as a historical landmark that attracts visitors interested in architecture and 20th century history.

The Bunker raises important questions about the preservation of historic sites and their importance to our collective memory. It offers a unique insight into a complex historical period and serves as an educational tool for understanding the technological advances and societal challenges of the time.","Fink II U-Boot-Bunker","4.3","en","https://www.google.com/maps/search/?api=1&query=Fink%20II%20U-Boot-Bunker&query_place_id=ChIJXW_mZPGEsUcRRMrNuE6y2qY",
"Rüschweg 28, 21129 Hamburg, Germany","Historical landmark","Historical landmark","12023118206396648004","Hamburg","DE","0x47b184f164e66f5d:0xa6dab24eb8cdca44","https://lh5.googleusercontent.com/p/AF1QipOj6djO1l7Qq3GJUnYUK7Q1WbfN4tib_YYwN5Q1=w408-h306-k-no","false","false","0","53.541152","9.8543855","Thomas Kempe","Hamburg-Mitte",,"false","ChIJXW_mZPGEsUcRRMrNuE6y2qY","21129",,"7 months ago","2024-07-10T14:07:05.969Z",,,,,,,"ChdDSUhNMG9nS0VJQ0FnSUNyX1pybnJBRRAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNyX1pybnJBRRAB!2m1!1s0x0:0xa6dab24eb8cdca44!3m1!1s2@1:CIHM0ogKEICAgICr_ZrnrAE%7CCgwIiau6tAYQkOq_zgM%7C?hl=en","106201926923170735072","0","https://lh3.googleusercontent.com/a/ACg8ocIK5g4JKxdaOPDZ-Zz43-Pep8keYSQnmRjVfSHTnAw7CgEsjA=s1920-c-rp-mo-ba3-br100","https://www.google.com/maps/contrib/106201926923170735072?hl=en","82","Direct Detail URL: https://www.google.com/maps/place/Fink+II+U-Boot-Bunker/@53.541152,9.8518106,17z/data=!3m1!4b1!4m6!3m5!1s0x47b184f164e66f5d:0xa6dab24eb8cdca44!8m2!3d53.541152!4d9.8543855!16s%2Fg%2F11bvt8mzbs?entry=ttu&g_ep=EgoyMDI1MDIxMC4wIKXMDSoJLDEwMjExMjMzSAFQAw%3D%3D","4",,"Rüschweg 28","false",,,"Fink II U-Boot-Bunker","4.3",,"https://www.google.com/maps/search/?api=1&query=Fink%20II%20U-Boot-Bunker&query_place_id=ChIJXW_mZPGEsUcRRMrNuE6y2qY",
